primarypropertytype,taxparcelidentificationnumber,neighborhood,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,listofallpropertyusetypes,largestpropertyusetype,energystarscore,steamuse,naturalgas,totalghgemissions,zipcode,longitude,age
Large Office,1975700200,DOWNTOWN,1,5,168115,0,"Data Center, Office, Retail Store",Office,78.0,False,False,66.48,98101.0,-122.33659,50
Other,1975700365,DOWNTOWN,1,2,57428,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,,False,True,33.26,98101.0,-122.33765,103
Small- and Mid-Sized Office,1975700380,DOWNTOWN,1,8,59400,0,"Office, Retail Store",Office,14.0,False,False,35.36,98101.0,-122.33794,113
Mixed Use Property,1975700525,DOWNTOWN,1,2,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,,False,True,584.31,98101.0,-122.33744,97
Hotel,1976700010,DOWNTOWN,1,20,98634,10043,"Hotel, Parking, Restaurant",Hotel,71.0,False,True,59.19,98101.0,-122.33432,93
Hotel,1976700095,DOWNTOWN,1,34,994212,146694,"Hotel, Parking, Swimming Pool",Hotel,63.0,True,True,2451.58,98101.0,-122.33339,41
Hotel,1977200050,DOWNTOWN,1,7,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,98.0,False,True,134.38,98101.0,-122.34138,38
Hotel,1977201035,DOWNTOWN,1,7,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,99.0,False,True,227.18,98101.0,-122.34114,115
Hotel,1991200730,LAKE UNION,1,5,113173,42546,"Hotel, Parking",Hotel,86.0,False,True,144.79,98109.0,-122.34413,64
Hotel,1991200935,LAKE UNION,1,7,150453,34735,Hotel,Hotel,84.0,False,True,199.95,98109.0,-122.34274,23
Hotel,1991200940,LAKE UNION,1,6,116300,28200,Hotel,Hotel,80.0,False,True,162.39,98109.0,-122.34314,26
Hotel,1992200235,MAGNOLIA / QUEEN ANNE,1,6,155602,36744,Hotel,Hotel,81.0,False,True,152.76,98119.0,-122.35951,25
K-12 School,2125049015,EAST,1,3,56072,0,K-12 School,K-12 School,76.0,False,True,146.34,98136.0,-122.30793,112
Hotel,2249000170,MAGNOLIA / QUEEN ANNE,1,4,122942,44891,"Hotel, Parking",Hotel,94.0,False,True,171.64,98109.0,-122.34456,24
Small- and Mid-Sized Office,2254501944,CENTRAL,1,2,54984,0,Office,Office,71.0,False,True,87.98,98122.0,-122.30956,61
Senior Care Community,2324039001,SOUTHWEST,1,5,217603,0,"Parking, Senior Care Community",Senior Care Community,54.0,False,True,1727.11,98126.0,-122.37751,101
Senior Care Community,2426039059,NORTHWEST,1,2,93397,0,Senior Care Community,Senior Care Community,1.0,False,True,609.1,98133.0,-122.35599,53
Hotel,2467400430,LAKE UNION,1,6,84103,20732,"Hotel, Parking",Hotel,74.0,False,True,67.06,98109.0,-122.33211,15
K-12 School,2518400005,SOUTHWEST,1,2,53352,0,K-12 School,K-12 School,,False,False,4.19,98146.0,-122.37759,75
Medical Office,1978201270,EAST,1,3,179014,0,Medical Office,Medical Office,48.0,False,True,430.84,98122.0,-122.3214,58
Hotel,1979200270,EAST,1,7,76631,0,Hotel,Hotel,71.0,False,True,262.75,98104.0,-122.32693,115
Mixed Use Property,1979200290,EAST,1,6,99780,9341,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,,True,False,481.97,98104.0,-122.32637,40
Retail Store,1983200230,LAKE UNION,1,2,58320,0,Retail Store,Retail Store,96.0,False,True,39.06,98109.0,-122.33805,94
Large Office,1983200325,LAKE UNION,1,5,316306,0,"Office, Other, Parking, Retail Store",Office,96.0,False,True,138.85,98109.0,-122.33646,13
Hotel,1984200065,LAKE UNION,1,7,282863,44766,"Hotel, Parking",Hotel,37.0,False,True,526.85,98109.0,-122.33325,33
Other,1985200003,MAGNOLIA / QUEEN ANNE,1,1,389000,0,Other,Other,,True,True,607.41,98109.0,-122.35398,61
Other,1985200003,MAGNOLIA / QUEEN ANNE,1,1,91213,0,Other,Other,,True,False,344.2,98109.0,-122.35398,61
Other,1985200305,MAGNOLIA / QUEEN ANNE,1,5,396085,0,Other,Other,,True,False,804.2,98109.0,-122.35398,85
Large Office,1986200410,LAKE UNION,1,12,571329,0,"Office, Other, Parking",Office,91.0,False,True,617.52,98109.0,-122.33629,13
Other,1988200440,MAGNOLIA / QUEEN ANNE,1,2,52000,0,Other,Other,,True,False,101.83,98109.0,-122.35077,61
Other,1988200700,MAGNOLIA / QUEEN ANNE,1,1,60696,0,Other,Other,,False,False,6.11,98109.0,-122.35077,95
Other,1988200700,MAGNOLIA / QUEEN ANNE,1,2,262048,0,Other,Other,,True,False,490.73,98109.0,-122.35143,95
Small- and Mid-Sized Office,1988200705,MAGNOLIA / QUEEN ANNE,1,2,66240,2352,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,,False,False,29.04,98109.0,-122.34837,37
Large Office,1988201155,MAGNOLIA / QUEEN ANNE,1,6,920598,303707,"Office, Other, Parking",Office,93.0,False,True,674.09,98109.0,-122.34443,13
Small- and Mid-Sized Office,1989200850,MAGNOLIA / QUEEN ANNE,1,4,76213,25930,"Office, Other, Parking",Office,68.0,False,True,48.76,98033.0,-122.35842,53
Hotel,1989201125,MAGNOLIA / QUEEN ANNE,1,6,96910,36934,"Hotel, Parking",Hotel,56.0,False,True,152.14,98109.0,-122.35708,21
Hotel,1142001871,NORTHEAST,2,4,50017,0,"Hotel, Swimming Pool",Hotel,53.0,False,True,191.2,98105.0,-122.31756,61
K-12 School,1324039116,DELRIDGE,1,3,74468,0,K-12 School,K-12 School,,False,False,11.84,98106.0,-122.358,24
K-12 School,1336800825,EAST,1,3,67743,0,K-12 School,K-12 School,34.0,False,True,78.85,98112.0,-122.30828,100
K-12 School,1338800660,EAST,1,6,194104,0,K-12 School,K-12 School,100.0,False,True,243.23,98112.0,-122.30429,115
Small- and Mid-Sized Office,1498303116,SOUTHEAST,1,3,99433,35752,"Office, Parking",Office,63.0,False,False,34.14,98144.0,-122.30125,20
K-12 School,1524049002,SOUTHEAST,1,2,58933,0,K-12 School,K-12 School,,False,False,16.36,98144.0,-122.29058,32
K-12 School,1624049214,GREATER DUWAMISH,1,1,130862,0,K-12 School,K-12 School,61.0,False,True,238.48,98108.0,-122.31208,66
K-12 School,1704900242,SOUTHEAST,1,3,59955,0,K-12 School,K-12 School,93.0,False,True,20.48,98118.0,-122.27596,34
K-12 School,1794501220,MAGNOLIA / QUEEN ANNE,1,2,93218,0,K-12 School,K-12 School,86.0,False,True,84.75,98119.0,-122.35896,59
Other,1797500625,NORTHEAST,1,4,56521,0,Other,Other,,False,False,44.32,98115.0,-122.31534,82
Other,1797500715,NORTHEAST,1,2,206934,0,"Other, Parking",Other,,False,True,133.58,98115.0,-122.31769,94
Hotel,1926049012,NORTHWEST,1,4,51390,0,"Hotel, Parking",Hotel,89.0,False,True,127.29,98133.0,-122.3458,22
K-12 School,1926049025,NORTHWEST,1,2,131013,0,K-12 School,K-12 School,88.0,False,True,124.92,98133.0,-122.35315,60
K-12 School,1926049321,NORTHWEST,1,1,245587,0,K-12 School,K-12 School,92.0,False,True,443.73,98133.0,-122.33684,64
Hotel,1926049434,NORTHWEST,1,3,69138,0,Hotel,Hotel,78.0,False,True,89.02,98133.0,-122.3423,21
K-12 School,1931301145,LAKE UNION,1,3,66588,0,K-12 School,K-12 School,,False,False,14.67,98103.0,-122.34912,32
Hotel,1974600035,DOWNTOWN,1,5,190980,0,"Hotel, Parking",Hotel,98.0,False,True,142.39,98104.0,-122.3368,119
Other,1974700025,DOWNTOWN,1,6,284100,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,True,True,429.12,98111.0,-122.3367,25
Hospital,2767703875,BALLARD,4,5,285333,0,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),14.0,False,True,1990.5,98107.0,-122.37956,69
K-12 School,2768000375,BALLARD,1,2,55513,0,K-12 School,K-12 School,93.0,False,False,10.55,98107.0,-122.36225,32
Other,5247801465,DOWNTOWN,1,4,61156,0,"Office, Other",Other,,False,True,176.75,98104.0,-122.32785,17
Other,5247802715,DOWNTOWN,1,4,72820,13820,Museum,Museum,,False,True,46.26,98104.0,-122.32283,113
Hotel,5458300285,MAGNOLIA / QUEEN ANNE,1,4,162222,14200,"Hotel, Parking",Hotel,76.0,False,True,228.4,98109.0,-122.3467,27
K-12 School,5700000455,SOUTHEAST,1,4,289588,0,K-12 School,K-12 School,90.0,False,True,170.84,98144.0,-122.29365,33
University,6003000470,EAST,1,3,63330,0,College/University,College/University,,False,True,74.33,98122.0,-122.32177,108
University,6171900005,DELRIDGE,27,2,441071,0,College/University,College/University,,False,True,866.23,98106.0,-122.35307,53
Small- and Mid-Sized Office,6418100005,NORTHEAST,1,2,96300,0,"Data Center, Office",Office,,False,True,222.02,98115.0,-122.26456,21
Other,6834700175,GREATER DUWAMISH,1,1,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",,False,True,204.08,98134.0,-122.32146,73
K-12 School,6840701230,CENTRAL,1,3,254523,0,K-12 School,K-12 School,60.0,False,True,359.09,98122.0,-122.30156,15
K-12 School,7129302300,SOUTHEAST,1,3,78804,0,K-12 School,K-12 School,92.0,False,True,56.82,98118.0,-122.25864,22
K-12 School,7152200350,CENTRAL,1,3,66994,0,K-12 School,K-12 School,79.0,False,True,41.74,98122.0,-122.29087,21
K-12 School,7243500230,GREATER DUWAMISH,1,3,98357,0,K-12 School,K-12 School,88.0,False,True,94.64,98118.0,-122.28904,23
Small- and Mid-Sized Office,7378600265,GREATER DUWAMISH,1,1,54765,0,"Office, Other",Office,,False,True,61.21,98118.0,-122.28406,65
Other,7378600265,GREATER DUWAMISH,1,5,89821,0,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,,False,True,100.46,98118.0,-122.284,14
University,7443000070,MAGNOLIA / QUEEN ANNE,1,2,52611,0,College/University,College/University,,False,True,104.26,98119.0,-122.36122,43
Residence Hall,7443000375,MAGNOLIA / QUEEN ANNE,1,4,139600,37500,Residence Hall/Dormitory,Residence Hall/Dormitory,89.0,False,True,129.39,98119.0,-122.36331,22
